model,display_model,ap_n,ap_n_pos,ap_n_neg,ap_sensitivity,ap_specificity,ap_balanced_accuracy,ap_roc_auc,ap_tp,ap_fp,ap_tn,ap_fn,pa_n,pa_n_pos,pa_n_neg,pa_sensitivity,pa_specificity,pa_balanced_accuracy,pa_roc_auc,pa_tp,pa_fp,pa_tn,pa_fn,delta_ap_minus_pa_ba
pneumonia_net,PneumoniaNet,479,401,78,0.9750623441396509,0.5512820512820513,0.7631721977108511,0.9264658865656373,391,35,43,10,521,99,422,0.6868686868686869,0.933649289099526,0.8102589879841064,0.9119632342381158,68,28,394,31,-0.04708679027325535
resnet18,ResNet18,479,401,78,0.9675810473815462,0.7435897435897436,0.8555853954856449,0.9766289404693395,388,20,58,13,521,99,422,0.9090909090909091,0.9597156398104265,0.9344032744506678,0.9823112643017856,90,17,405,9,-0.0788178789650229
mobilenet_v3_large,MobileNetV3,479,401,78,0.9576059850374065,0.8076923076923077,0.8826491463648571,0.9772683675426818,384,15,63,17,521,99,422,0.8787878787878788,0.9715639810426541,0.9251759299152664,0.9835320024893485,87,12,410,12,-0.042526783550409286
efficientnet_b0,EfficientNet-B0,479,401,78,0.970074812967581,0.7948717948717948,0.8824733039196879,0.9706822686872563,389,16,62,12,521,99,422,0.8383838383838383,0.985781990521327,0.9120829144525826,0.9825506247307195,83,6,416,16,-0.02960961053289468
densenet121,DenseNet121,479,401,78,0.9600997506234414,0.8205128205128205,0.890306285568131,0.9806573310313959,385,14,64,16,521,99,422,0.8383838383838383,0.9715639810426541,0.9049739097132462,0.9692900569677821,83,12,410,16,-0.014667624145115243
